订单号,订单日期,月份,类别,子类别,单价,数量,总销售额,折扣率,利润,地区,颜色,尺码,客户ID,利润率
DD100721,2024-05-15,5,配饰,腰带,170.0,1,153.0,90,110.37,华东,米色,XL,C10148,72.14
DD100736,2024-02-10,2,裤装,西装裤,360.0,1,342.0,95,163.68,西南,酒红,XXL,C10334,47.86
DD102305,2024-09-12,9,上衣,衬衫,350.0,1,332.5,95,177.08,华东,酒红,M,C10352,53.26
DD100059,2024-06-19,6,裤装,短裤,470.0,1,470.0,100,237.94,华中,米色,L,C10009,50.63
DD100632,2024-10-17,10,连衣裙,A字裙,220.0,2,418.0,95,205.68,华北,灰色,L,C10324,49.21
DD101182,2024-05-04,5,上衣,针织衫,260.0,1,260.0,100,139.5,华北,米色,L,C10295,53.65
DD101784,2024-03-16,3,裤装,牛仔裤,190.0,1,190.0,100,104.2,华东,酒红,M,C10105,54.84
DD100593,2024-06-10,6,上衣,T恤,340.0,1,306.0,90,186.04,华北,黑色,M,C10270,60.8
DD101304,2024-08-28,8,裤装,短裤,280.0,1,168.0,60,84.14,华东,墨绿,S,C10143,50.08
DD102269,2024-10-10,10,裤装,西装裤,300.0,1,270.0,90,137.24,东北,藏青,XS,C10500,50.83
DD100940,2024-01-05,1,上衣,T恤,140.0,2,280.0,100,145.57,西南,酒红,M,C10306,51.99
DD102423,2024-04-04,4,外套,夹克,1060.0,1,1060.0,100,509.01,东北,米色,M,C10268,48.02
DD101250,2024-08-24,8,上衣,卫衣,150.0,2,300.0,100,190.06,华东,酒红,XL,C10495,63.35
DD100905,2024-02-04,2,配饰,腰带,90.0,2,153.0,85,93.31,西南,灰色,M,C10473,60.99
DD101280,2024-04-12,4,上衣,针织衫,310.0,4,1116.0,90,663.64,华东,酒红,XS,C10145,59.47
DD102080,2024-11-24,11,外套,风衣,1050.0,1,1050.0,100,472.26,华中,米色,M,C10018,44.98
DD102496,2024-04-16,4,连衣裙,A字裙,210.0,2,378.0,90,222.34,华东,驼色,M,C10241,58.82
DD101675,2024-07-21,7,连衣裙,衬衫裙,410.0,1,328.0,80,179.43,华南,藏青,M,C10465,54.7
DD102124,2024-10-05,10,连衣裙,吊带裙,490.0,1,416.5,85,235.18,西南,灰色,L,C10076,56.47
DD102015,2024-05-08,5,连衣裙,衬衫裙,300.0,2,600.0,100,329.47,华北,墨绿,M,C10488,54.91
DD102557,2024-04-19,4,外套,风衣,680.0,1,680.0,100,289.36,东北,藏青,S,C10356,42.55
DD100707,2024-10-02,10,外套,风衣,1130.0,1,960.5,85,434.9,东北,米色,M,C10180,45.28
DD101023,2024-11-28,11,连衣裙,吊带裙,370.0,1,370.0,100,222.88,西南,白色,XL,C10128,60.24
DD100746,2024-01-12,1,上衣,针织衫,180.0,1,162.0,90,99.69,华中,墨绿,XXL,C10215,61.54
DD101986,2024-12-26,12,配饰,围巾,260.0,1,247.0,95,166.14,华中,白色,M,C10210,67.26
DD101547,2024-06-23,6,连衣裙,A字裙,310.0,1,294.5,95,156.9,华南,驼色,XXL,C10256,53.28
DD100514,2024-07-26,7,外套,羽绒服,540.0,2,1080.0,100,533.77,华东,墨绿,L,C10015,49.42
DD100082,2024-05-10,5,裤装,牛仔裤,320.0,1,320.0,100,163.87,东北,灰色,L,C10288,51.21
DD102309,2024-11-25,11,上衣,衬衫,350.0,1,332.5,95,196.74,华南,灰色,XL,C10214,59.17
DD101309,2024-10-10,10,连衣裙,针织裙,370.0,1,351.5,95,206.9,西南,灰色,M,C10263,58.86
DD100915,2024-09-12,9,裤装,休闲裤,320.0,1,320.0,100,146.43,华中,酒红,M,C10515,45.76
DD102398,2024-04-25,4,外套,羽绒服,1080.0,1,1026.0,95,453.65,华南,驼色,M,C10071,44.22
DD101972,2024-04-12,4,裤装,西装裤,590.0,2,1180.0,100,661.93,东北,灰色,L,C10360,56.1
DD100151,2024-11-09,11,上衣,衬衫,290.0,2,493.0,85,321.28,华南,白色,M,C10231,65.17
DD100775,2024-06-15,6,裤装,短裤,450.0,1,450.0,100,248.44,东北,白色,XXL,C10205,55.21
DD100330,2024-03-06,3,上衣,衬衫,260.0,2,520.0,100,308.5,华南,白色,M,C10456,59.33
DD100007,2024-11-26,11,裤装,牛仔裤,560.0,2,1120.0,100,645.65,东北,墨绿,L,C10546,57.65
DD100944,2024-01-04,1,配饰,围巾,60.0,1,48.0,80,35.21,东北,灰色,L,C10050,73.35
DD101730,2024-07-21,7,外套,羽绒服,680.0,1,646.0,95,293.66,华南,米色,XL,C10407,45.46
DD100735,2024-05-23,5,上衣,卫衣,180.0,1,171.0,95,109.97,华南,米色,M,C10341,64.31
DD100910,2024-09-16,9,裤装,休闲裤,490.0,1,490.0,100,261.57,东北,墨绿,XXL,C10103,53.38
DD100469,2024-02-23,2,裤装,短裤,220.0,1,209.0,95,112.92,华南,墨绿,M,C10558,54.03
DD100182,2024-03-10,3,上衣,针织衫,260.0,1,260.0,100,151.87,西南,黑色,M,C10225,58.41
DD100165,2024-10-19,10,裤装,短裤,190.0,1,190.0,100,90.58,西南,墨绿,L,C10349,47.67
DD100452,2024-08-24,8,外套,夹克,910.0,2,1638.0,90,836.77,东北,藏青,L,C10422,51.08
DD100491,2024-07-18,7,连衣裙,吊带裙,610.0,1,610.0,100,339.2,东北,藏青,M,C10140,55.61
DD101514,2024-10-19,10,外套,大衣,460.0,1,368.0,80,154.36,华东,藏青,L,C10215,41.95
DD101144,2024-10-20,10,外套,大衣,430.0,2,688.0,80,331.21,西南,白色,L,C10282,48.14
DD101312,2024-07-09,7,外套,羽绒服,1290.0,1,1096.5,85,500.6,西南,白色,L,C10274,45.65
DD102284,2024-04-10,4,裤装,短裤,550.0,1,550.0,100,315.78,华南,黑色,XL,C10094,57.41
DD101112,2024-07-26,7,裤装,牛仔裤,250.0,1,212.5,85,106.88,华南,藏青,L,C10145,50.3
DD102478,2024-07-09,7,连衣裙,衬衫裙,640.0,1,640.0,100,387.26,西南,黑色,XXL,C10229,60.51
DD101423,2024-05-09,5,外套,羽绒服,310.0,1,310.0,100,135.67,东北,墨绿,L,C10251,43.76
DD101610,2024-05-20,5,裤装,牛仔裤,200.0,2,380.0,95,177.9,西南,米色,M,C10275,46.82
DD101859,2024-05-18,5,上衣,T恤,270.0,1,216.0,80,121.05,华东,灰色,S,C10435,56.04
DD102100,2024-03-07,3,外套,大衣,1150.0,1,1035.0,90,430.59,华中,米色,M,C10496,41.6
DD101640,2024-09-14,9,裤装,牛仔裤,420.0,1,336.0,80,169.01,西南,灰色,M,C10372,50.3
DD102008,2024-06-07,6,配饰,围巾,50.0,1,47.5,95,28.6,西南,灰色,XXL,C10041,60.21
DD102001,2024-05-03,5,上衣,针织衫,260.0,1,247.0,95,151.92,华中,驼色,XXL,C10266,61.51
DD101944,2024-05-12,5,裤装,牛仔裤,250.0,3,750.0,100,404.64,西南,米色,M,C10527,53.95
DD100328,2024-01-14,1,连衣裙,针织裙,280.0,2,532.0,95,311.14,华北,驼色,XXL,C10556,58.48
DD100443,2024-08-24,8,连衣裙,A字裙,220.0,1,132.0,60,73.95,华东,藏青,M,C10366,56.02
DD102477,2024-08-26,8,连衣裙,针织裙,500.0,1,500.0,100,295.65,华中,白色,L,C10387,59.13
DD102440,2024-05-13,5,裤装,短裤,220.0,3,660.0,100,347.45,华中,酒红,XL,C10346,52.64
DD100833,2024-05-17,5,裤装,短裤,320.0,1,304.0,95,148.0,华中,藏青,L,C10046,48.68
DD102055,2024-11-03,11,上衣,卫衣,370.0,1,222.0,60,130.56,华北,酒红,S,C10208,58.81
DD101642,2024-06-13,6,上衣,T恤,310.0,1,310.0,100,199.07,华南,白色,M,C10223,64.22
DD101202,2024-08-23,8,上衣,衬衫,190.0,1,180.5,95,111.65,华东,米色,L,C10265,61.86
DD101421,2024-07-20,7,外套,风衣,750.0,1,712.5,95,345.45,西南,白色,XXL,C10369,48.48
DD100087,2024-02-29,2,上衣,卫衣,340.0,1,340.0,100,202.35,华东,灰色,L,C10187,59.51
DD101404,2024-07-05,7,裤装,牛仔裤,590.0,1,590.0,100,348.78,东北,墨绿,M,C10591,59.12
DD102539,2024-05-10,5,裤装,休闲裤,240.0,1,228.0,95,106.04,华中,黑色,S,C10021,46.51
DD100778,2024-12-17,12,连衣裙,A字裙,670.0,2,1139.0,85,678.51,西南,墨绿,L,C10585,59.57
DD101619,2024-11-18,11,连衣裙,针织裙,670.0,1,636.5,95,346.21,华中,灰色,L,C10592,54.39
DD100055,2024-02-12,2,上衣,针织衫,370.0,1,333.0,90,183.97,西南,驼色,L,C10368,55.25
DD102035,2024-03-05,3,连衣裙,衬衫裙,220.0,1,220.0,100,133.74,华东,白色,M,C10369,60.79
DD101288,2024-02-28,2,上衣,卫衣,210.0,1,210.0,100,133.96,华南,灰色,M,C10462,63.79
DD101829,2024-09-13,9,裤装,休闲裤,320.0,1,304.0,95,139.07,西南,黑色,M,C10276,45.75
DD101709,2024-10-03,10,配饰,帽子,180.0,1,153.0,85,97.68,西南,墨绿,M,C10454,63.84
DD101246,2024-02-10,2,配饰,腰带,160.0,1,160.0,100,98.21,东北,墨绿,L,C10427,61.38
DD100114,2024-01-03,1,连衣裙,吊带裙,430.0,2,774.0,90,403.01,西南,藏青,M,C10531,52.07
DD102439,2024-05-28,5,外套,羽绒服,930.0,1,930.0,100,401.09,华东,驼色,M,C10117,43.13
DD100988,2024-12-17,12,连衣裙,A字裙,410.0,1,410.0,100,222.97,华中,白色,XL,C10350,54.38
DD102045,2024-10-19,10,裤装,休闲裤,390.0,2,741.0,95,369.66,华东,黑色,M,C10483,49.89
DD102287,2024-07-13,7,裤装,牛仔裤,470.0,3,1410.0,100,670.07,东北,米色,M,C10346,47.52
DD101010,2024-04-27,4,上衣,衬衫,170.0,1,170.0,100,109.57,东北,藏青,S,C10469,64.45
DD101199,2024-06-12,6,连衣裙,吊带裙,250.0,1,250.0,100,127.23,华中,墨绿,M,C10528,50.89
DD101395,2024-12-29,12,连衣裙,衬衫裙,210.0,1,210.0,100,123.05,华中,藏青,M,C10312,58.6
DD100590,2024-11-20,11,上衣,针织衫,220.0,1,176.0,80,96.27,西南,白色,L,C10229,54.7
DD100769,2024-09-16,9,上衣,衬衫,320.0,1,272.0,85,153.53,西南,白色,S,C10393,56.44
DD100018,2024-08-09,8,上衣,针织衫,90.0,1,90.0,100,54.0,华北,黑色,M,C10459,60.0
DD101043,2024-08-21,8,连衣裙,衬衫裙,690.0,1,586.5,85,282.2,华南,墨绿,L,C10219,48.12
DD102135,2024-02-11,2,上衣,针织衫,170.0,1,153.0,90,86.37,东北,白色,XXL,C10524,56.45
DD100286,2024-10-22,10,上衣,T恤,180.0,1,153.0,85,97.69,西南,墨绿,XL,C10339,63.85
DD100429,2024-01-19,1,外套,大衣,1040.0,1,1040.0,100,403.56,华中,黑色,M,C10442,38.8
DD101329,2024-09-17,9,连衣裙,A字裙,570.0,1,570.0,100,301.01,华北,黑色,M,C10083,52.81
DD102222,2024-01-20,1,配饰,腰带,70.0,1,59.5,85,39.24,华南,黑色,S,C10338,65.95
DD100670,2024-05-17,5,上衣,针织衫,300.0,1,300.0,100,169.01,华东,酒红,M,C10428,56.34
DD100032,2024-08-04,8,上衣,衬衫,180.0,1,162.0,90,91.03,西南,黑色,XL,C10393,56.19
DD101342,2024-10-07,10,连衣裙,针织裙,640.0,1,640.0,100,387.77,华北,灰色,M,C10135,60.59
DD100723,2024-07-05,7,外套,夹克,1110.0,2,1887.0,85,916.9,华中,酒红,M,C10560,48.59
DD100952,2024-12-09,12,外套,羽绒服,880.0,1,704.0,80,313.2,华北,黑色,M,C10029,44.49
DD101914,2024-03-05,3,配饰,帽子,240.0,1,240.0,100,148.15,西南,白色,XXL,C10379,61.73
DD100215,2024-10-05,10,连衣裙,A字裙,300.0,4,1200.0,100,754.05,西南,黑色,L,C10548,62.84
DD101941,2024-09-12,9,上衣,卫衣,300.0,1,180.0,60,96.35,东北,白色,XL,C10118,53.53
DD101165,2024-10-14,10,配饰,包包,110.0,1,66.0,60,42.71,东北,驼色,M,C10125,64.71
DD100327,2024-08-19,8,连衣裙,针织裙,330.0,1,330.0,100,183.48,东北,酒红,S,C10186,55.6
DD100561,2024-05-24,5,上衣,衬衫,260.0,2,520.0,100,282.98,华南,白色,L,C10291,54.42
DD101384,2024-10-18,10,上衣,衬衫,350.0,1,350.0,100,209.87,华南,墨绿,M,C10563,59.96
DD101087,2024-03-24,3,上衣,针织衫,320.0,1,272.0,85,166.69,华东,黑色,S,C10475,61.28
DD102400,2024-05-12,5,上衣,T恤,240.0,1,240.0,100,138.8,西南,米色,M,C10488,57.83
DD100342,2024-09-28,9,上衣,T恤,220.0,1,209.0,95,115.66,华中,驼色,L,C10128,55.34
DD100148,2024-08-05,8,外套,大衣,820.0,1,820.0,100,369.63,华南,灰色,M,C10245,45.08
DD101998,2024-11-03,11,上衣,衬衫,190.0,1,171.0,90,106.68,东北,藏青,L,C10462,62.39
DD102504,2024-09-08,9,连衣裙,针织裙,210.0,1,199.5,95,115.68,华南,黑色,M,C10380,57.98
DD101108,2024-07-04,7,连衣裙,吊带裙,420.0,1,399.0,95,227.71,华北,驼色,L,C10354,57.07
DD100849,2024-08-22,8,连衣裙,针织裙,450.0,3,1282.5,95,614.98,华北,米色,M,C10285,47.95
DD100967,2024-05-01,5,裤装,牛仔裤,460.0,1,437.0,95,243.02,华中,白色,XXL,C10245,55.61
DD101073,2024-09-18,9,配饰,包包,230.0,1,230.0,100,143.7,华北,墨绿,XS,C10575,62.48
DD100156,2024-07-17,7,连衣裙,A字裙,260.0,1,208.0,80,122.64,华北,灰色,M,C10413,58.96
DD101806,2024-05-13,5,裤装,牛仔裤,450.0,1,405.0,90,206.61,东北,驼色,L,C10434,51.01
DD101743,2024-02-11,2,上衣,T恤,320.0,1,288.0,90,179.81,华中,驼色,M,C10484,62.43
DD101003,2024-07-12,7,连衣裙,针织裙,340.0,1,289.0,85,151.33,华东,墨绿,XXL,C10259,52.36
DD102003,2024-12-20,12,裤装,短裤,490.0,1,416.5,85,200.58,华北,米色,M,C10536,48.16
DD102503,2024-05-03,5,上衣,T恤,370.0,1,314.5,85,187.6,西南,黑色,XL,C10110,59.65
DD102303,2024-05-12,5,外套,风衣,1000.0,1,1000.0,100,422.76,华中,黑色,L,C10301,42.28
DD102377,2024-06-08,6,外套,夹克,420.0,1,420.0,100,177.21,东北,藏青,L,C10246,42.19
DD102541,2024-10-07,10,上衣,T恤,140.0,1,133.0,95,85.69,华南,驼色,M,C10274,64.43
DD101204,2024-10-25,10,上衣,针织衫,350.0,2,560.0,80,337.56,华南,墨绿,S,C10487,60.28
DD101772,2024-06-21,6,外套,夹克,580.0,1,551.0,95,234.77,东北,墨绿,S,C10150,42.61
DD102443,2024-04-12,4,连衣裙,A字裙,380.0,1,361.0,95,196.34,东北,灰色,XL,C10569,54.39
DD101510,2024-04-23,4,配饰,包包,150.0,1,135.0,90,86.1,华南,灰色,M,C10476,63.78
DD101602,2024-02-21,2,外套,风衣,1200.0,1,1080.0,90,485.53,华北,白色,XL,C10066,44.96
DD101939,2024-10-15,10,裤装,西装裤,270.0,2,513.0,95,229.14,华北,墨绿,S,C10513,44.67
DD100876,2024-10-18,10,连衣裙,吊带裙,640.0,1,640.0,100,352.06,华东,驼色,M,C10167,55.01
DD102508,2024-07-03,7,上衣,卫衣,130.0,1,130.0,100,80.8,东北,米色,XL,C10123,62.15
DD100939,2024-12-15,12,连衣裙,衬衫裙,380.0,3,1140.0,100,635.77,西南,白色,XL,C10335,55.77
DD102339,2024-08-25,8,上衣,卫衣,330.0,1,297.0,90,185.03,华中,驼色,XL,C10320,62.3
DD100347,2024-08-05,8,裤装,牛仔裤,290.0,1,203.0,70,115.05,西南,藏青,L,C10279,56.67
DD102175,2024-03-27,3,连衣裙,衬衫裙,680.0,1,680.0,100,397.14,华北,灰色,XL,C10565,58.4
DD102575,2024-01-28,1,连衣裙,A字裙,340.0,1,272.0,80,133.23,华南,米色,L,C10548,48.98
DD101539,2024-02-02,2,上衣,衬衫,370.0,1,370.0,100,193.71,华中,黑色,S,C10395,52.35
DD100386,2024-04-10,4,连衣裙,衬衫裙,300.0,1,300.0,100,153.08,华南,灰色,M,C10486,51.03
DD101819,2024-09-12,9,连衣裙,吊带裙,670.0,1,670.0,100,355.36,西南,白色,XL,C10270,53.04
DD101880,2024-05-09,5,连衣裙,衬衫裙,310.0,1,310.0,100,169.39,华北,酒红,XS,C10023,54.64
DD100244,2024-11-26,11,上衣,针织衫,220.0,1,209.0,95,125.23,华中,墨绿,S,C10146,59.92
DD101616,2024-11-26,11,连衣裙,衬衫裙,350.0,1,350.0,100,180.09,西南,墨绿,M,C10315,51.45
DD100937,2024-07-06,7,上衣,针织衫,170.0,1,144.5,85,76.67,东北,墨绿,L,C10035,53.06
DD102457,2024-08-24,8,上衣,卫衣,340.0,1,272.0,80,174.47,华北,黑色,S,C10163,64.14
DD100313,2024-05-17,5,上衣,针织衫,390.0,1,312.0,80,192.55,华北,墨绿,M,C10549,61.71
DD101460,2024-05-08,5,连衣裙,吊带裙,570.0,1,513.0,90,276.78,华南,灰色,S,C10191,53.95
DD102538,2024-01-18,1,配饰,围巾,230.0,2,414.0,90,276.45,华北,灰色,S,C10389,66.78
DD102171,2024-06-06,6,上衣,T恤,380.0,1,323.0,85,191.79,华南,驼色,S,C10466,59.38
DD101333,2024-08-21,8,上衣,卫衣,370.0,1,333.0,90,186.34,东北,驼色,XL,C10345,55.96
DD100969,2024-01-18,1,上衣,卫衣,170.0,1,161.5,95,96.02,西南,藏青,M,C10076,59.46
DD101455,2024-04-16,4,裤装,短裤,570.0,1,570.0,100,316.48,华中,黑色,M,C10068,55.52
DD100661,2024-01-24,1,连衣裙,A字裙,690.0,1,690.0,100,410.21,东北,白色,M,C10376,59.45
DD100936,2024-01-16,1,外套,大衣,520.0,1,520.0,100,251.81,华中,藏青,XXL,C10217,48.42
DD100371,2024-11-08,11,配饰,围巾,250.0,2,475.0,95,323.68,东北,墨绿,M,C10305,68.14
DD100567,2024-10-11,10,上衣,卫衣,220.0,1,220.0,100,128.86,华东,墨绿,L,C10105,58.57
DD101025,2024-06-03,6,外套,夹克,630.0,1,630.0,100,275.52,东北,白色,L,C10184,43.73
DD100825,2024-06-14,6,裤装,休闲裤,260.0,1,260.0,100,120.94,华东,酒红,XXL,C10392,46.52
DD100983,2024-05-24,5,连衣裙,A字裙,360.0,1,288.0,80,171.44,华东,藏青,XL,C10441,59.53
DD102103,2024-04-19,4,外套,羽绒服,380.0,1,380.0,100,189.38,华东,驼色,M,C10376,49.84
DD101593,2024-07-05,7,裤装,牛仔裤,380.0,1,380.0,100,219.22,华南,藏青,XXL,C10447,57.69
DD102240,2024-08-24,8,连衣裙,吊带裙,510.0,1,510.0,100,302.11,华南,藏青,XS,C10033,59.24
DD101851,2024-08-13,8,连衣裙,A字裙,460.0,2,874.0,95,424.73,西南,墨绿,M,C10267,48.6
DD100814,2024-05-05,5,上衣,T恤,270.0,2,540.0,100,332.18,华中,白色,S,C10556,61.51
DD101431,2024-02-23,2,上衣,针织衫,270.0,1,216.0,80,140.28,华南,米色,S,C10358,64.94
DD100779,2024-03-25,3,配饰,包包,280.0,1,266.0,95,169.43,西南,灰色,XXL,C10488,63.7
DD101321,2024-05-12,5,外套,风衣,1180.0,2,2360.0,100,1086.48,华中,米色,L,C10269,46.04
DD101646,2024-11-10,11,连衣裙,衬衫裙,300.0,1,300.0,100,160.73,东北,白色,L,C10491,53.58
DD102491,2024-10-13,10,裤装,西装裤,360.0,1,360.0,100,191.23,华北,灰色,L,C10409,53.12
DD101053,2024-12-27,12,上衣,针织衫,340.0,1,306.0,90,182.37,华东,米色,M,C10331,59.6
DD101967,2024-12-10,12,连衣裙,A字裙,250.0,1,250.0,100,123.86,华南,藏青,L,C10544,49.54
DD101014,2024-05-06,5,连衣裙,A字裙,250.0,1,175.0,70,104.26,东北,墨绿,XXL,C10029,59.58
DD101402,2024-04-17,4,连衣裙,吊带裙,680.0,1,680.0,100,408.55,华中,黑色,S,C10239,60.08
DD102237,2024-06-27,6,上衣,针织衫,170.0,1,170.0,100,96.13,华北,灰色,M,C10239,56.55
DD102162,2024-06-18,6,上衣,T恤,290.0,1,261.0,90,153.73,华南,藏青,M,C10048,58.9
DD101903,2024-05-06,5,连衣裙,衬衫裙,210.0,1,147.0,70,83.28,华中,酒红,XL,C10532,56.65
DD100127,2024-08-25,8,裤装,西装裤,260.0,1,260.0,100,148.82,东北,灰色,L,C10002,57.24
DD100888,2024-02-09,2,连衣裙,衬衫裙,610.0,1,610.0,100,367.69,华中,米色,L,C10505,60.28
DD102130,2024-06-17,6,连衣裙,衬衫裙,330.0,1,231.0,70,111.67,华北,藏青,S,C10497,48.34
DD101348,2024-03-02,3,外套,夹克,670.0,1,670.0,100,269.9,华中,酒红,S,C10565,40.28
DD101008,2024-07-24,7,外套,风衣,1030.0,1,1030.0,100,519.06,华中,白色,M,C10439,50.39
DD100356,2024-08-18,8,上衣,卫衣,390.0,1,390.0,100,255.4,华北,灰色,L,C10274,65.49
DD101004,2024-08-28,8,外套,羽绒服,770.0,1,770.0,100,380.4,华东,驼色,M,C10481,49.4
DD101484,2024-08-12,8,上衣,衬衫,310.0,2,496.0,80,289.95,华北,藏青,M,C10240,58.46
DD100683,2024-03-05,3,上衣,针织衫,90.0,1,76.5,85,48.62,华北,白色,L,C10577,63.56
DD100828,2024-01-01,1,连衣裙,衬衫裙,240.0,1,228.0,95,139.17,西南,灰色,XL,C10260,61.04
DD101614,2024-06-08,6,连衣裙,衬衫裙,380.0,1,342.0,90,202.01,华北,白色,M,C10236,59.07
DD100985,2024-08-14,8,外套,羽绒服,700.0,4,2380.0,85,1074.89,华南,驼色,M,C10585,45.16
DD101234,2024-02-19,2,上衣,T恤,220.0,1,220.0,100,116.0,华南,灰色,M,C10267,52.73
DD102212,2024-04-15,4,上衣,T恤,370.0,1,296.0,80,163.38,华东,藏青,M,C10235,55.2
DD100141,2024-07-13,7,上衣,T恤,210.0,1,199.5,95,114.79,华北,驼色,XXL,C10100,57.54
DD100218,2024-03-26,3,裤装,短裤,450.0,1,382.5,85,206.19,东北,驼色,XXL,C10230,53.91
DD102137,2024-05-19,5,裤装,短裤,590.0,1,590.0,100,342.42,华南,酒红,L,C10401,58.04
DD101964,2024-12-29,12,连衣裙,吊带裙,620.0,1,620.0,100,340.01,华北,墨绿,XXL,C10096,54.84
DD102312,2024-06-13,6,裤装,西装裤,570.0,2,912.0,80,418.26,东北,酒红,XS,C10042,45.86
DD101845,2024-07-04,7,配饰,帽子,150.0,1,150.0,100,103.56,华北,驼色,L,C10405,69.04
DD101660,2024-01-22,1,连衣裙,衬衫裙,670.0,1,670.0,100,361.73,华中,白色,M,C10199,53.99
DD100023,2024-10-04,10,上衣,衬衫,360.0,2,684.0,95,397.3,华东,墨绿,L,C10399,58.08
DD100712,2024-05-14,5,上衣,T恤,330.0,1,231.0,70,125.91,华北,墨绿,L,C10025,54.51
DD101158,2024-11-13,11,上衣,衬衫,150.0,1,142.5,95,79.55,华南,墨绿,M,C10244,55.82
DD101591,2024-03-05,3,配饰,包包,270.0,1,256.5,95,185.8,华南,黑色,S,C10124,72.44
DD100872,2024-03-08,3,外套,风衣,1040.0,2,2080.0,100,998.05,华中,灰色,XS,C10306,47.98
DD101583,2024-05-28,5,上衣,卫衣,320.0,1,288.0,90,156.42,华北,驼色,XL,C10360,54.31
DD100011,2024-07-05,7,连衣裙,针织裙,260.0,1,182.0,70,104.18,华东,藏青,M,C10496,57.24
DD101889,2024-09-25,9,连衣裙,针织裙,290.0,3,870.0,100,501.22,西南,藏青,L,C10409,57.61
DD102454,2024-02-16,2,连衣裙,针织裙,510.0,1,484.5,95,237.12,西南,米色,XXL,C10007,48.94
DD101838,2024-09-04,9,裤装,短裤,250.0,1,237.5,95,117.26,华东,灰色,M,C10327,49.37
DD101316,2024-04-06,4,配饰,腰带,120.0,1,114.0,95,70.6,华中,米色,S,C10161,61.93
DD100755,2024-09-12,9,外套,羽绒服,340.0,1,289.0,85,142.1,东北,灰色,XL,C10490,49.17
DD100627,2024-02-14,2,裤装,牛仔裤,370.0,1,351.5,95,182.22,华东,黑色,S,C10310,51.84
DD101918,2024-04-05,4,上衣,T恤,180.0,1,171.0,95,102.86,东北,驼色,L,C10317,60.15
DD102546,2024-02-15,2,裤装,牛仔裤,380.0,2,760.0,100,357.02,华中,米色,M,C10446,46.98
DD100130,2024-03-14,3,配饰,帽子,200.0,1,180.0,90,110.37,华南,藏青,L,C10001,61.32
DD100844,2024-02-13,2,上衣,衬衫,390.0,1,390.0,100,246.18,华中,灰色,XXL,C10470,63.12
DD100324,2024-11-04,11,上衣,衬衫,150.0,1,142.5,95,78.02,华中,墨绿,XXL,C10005,54.75
DD101836,2024-08-25,8,裤装,休闲裤,240.0,1,240.0,100,109.27,华东,墨绿,XXL,C10197,45.53
DD102190,2024-04-07,4,连衣裙,吊带裙,290.0,2,551.0,95,274.82,华东,米色,XXL,C10328,49.88
DD101285,2024-04-23,4,上衣,T恤,250.0,1,250.0,100,148.62,华东,驼色,XL,C10194,59.45
DD102520,2024-08-20,8,上衣,卫衣,340.0,1,340.0,100,177.58,华中,灰色,XS,C10133,52.23
DD100015,2024-03-03,3,上衣,针织衫,380.0,1,380.0,100,238.45,东北,白色,M,C10143,62.75
DD100948,2024-12-07,12,裤装,休闲裤,350.0,1,350.0,100,158.05,西南,藏青,XS,C10436,45.16
DD100216,2024-09-11,9,连衣裙,针织裙,640.0,1,640.0,100,356.11,东北,墨绿,L,C10357,55.64
DD101764,2024-07-19,7,外套,夹克,630.0,1,535.5,85,256.17,华南,黑色,L,C10587,47.84
DD102329,2024-07-27,7,外套,风衣,920.0,1,920.0,100,459.32,华北,墨绿,M,C10239,49.93
DD101183,2024-01-25,1,外套,大衣,1020.0,1,612.0,60,236.71,华中,灰色,M,C10333,38.68
DD101791,2024-07-03,7,上衣,针织衫,310.0,4,1240.0,100,817.38,华中,驼色,L,C10244,65.92
DD101695,2024-10-20,10,上衣,衬衫,240.0,1,240.0,100,148.72,东北,墨绿,M,C10380,61.97
DD100865,2024-05-01,5,裤装,牛仔裤,200.0,1,180.0,90,84.01,东北,酒红,L,C10232,46.67
DD100517,2024-04-18,4,上衣,针织衫,240.0,1,240.0,100,124.32,华东,米色,XXL,C10337,51.8
DD101546,2024-07-01,7,裤装,牛仔裤,240.0,1,240.0,100,125.58,华南,驼色,XL,C10577,52.32
DD100598,2024-02-02,2,连衣裙,吊带裙,320.0,2,512.0,80,251.78,西南,墨绿,XL,C10151,49.18
DD100196,2024-11-09,11,上衣,衬衫,180.0,2,342.0,95,184.12,华中,墨绿,L,C10332,53.84
DD101278,2024-08-11,8,配饰,帽子,50.0,1,47.5,95,34.67,东北,灰色,S,C10368,72.99
DD100289,2024-01-29,1,外套,大衣,870.0,1,870.0,100,329.12,华中,米色,M,C10507,37.83
DD100951,2024-04-04,4,上衣,卫衣,360.0,1,360.0,100,224.09,华北,酒红,M,C10045,62.25
DD102448,2024-03-20,3,连衣裙,衬衫裙,640.0,1,640.0,100,353.44,东北,驼色,L,C10278,55.22
DD101979,2024-12-27,12,连衣裙,A字裙,210.0,1,126.0,60,63.99,华东,酒红,XS,C10362,50.79
DD102479,2024-11-21,11,上衣,针织衫,100.0,1,100.0,100,55.28,华东,黑色,M,C10053,55.28
DD101121,2024-06-18,6,配饰,帽子,70.0,1,59.5,85,36.34,西南,酒红,XXL,C10345,61.08
DD101707,2024-08-13,8,配饰,包包,180.0,1,180.0,100,123.02,华南,驼色,XL,C10284,68.34
